Scenario_ID,Packet_ID,RSSI,Metric,Success
Meme_piece,1,-60.65852842259176,157,1
Meme_piece,2,-60.62601315965549,157,1
Meme_piece,3,-56.634653951722235,173,1
Meme_piece,4,-54.66876604278855,181,1
Meme_piece,5,-55.36323970465812,178,1
Meme_piece,6,-60.7927891811285,156,1
Meme_piece,7,-51.68558827276463,193,1
Meme_piece,8,-59.710088761222,161,1
Meme_piece,9,-53.73230682713706,185,1
Meme_piece,10,-56.80719141608266,172,1
Meme_piece,11,-54.540932169620035,181,1
Meme_piece,12,-59.99044857861282,160,1
Meme_piece,13,-56.97972842235798,172,1
Meme_piece,14,-58.018133945228136,167,1
Meme_piece,15,-61.46217119329252,154,1
Meme_piece,16,-59.17868872176119,163,1
Meme_piece,17,-60.11990294816833,159,1
Meme_piece,18,-55.93167206086629,176,1
Meme_piece,19,-58.950891171246994,164,1
Meme_piece,20,-56.36628811763165,174,1
Meme_piece,21,-60.301814236289225,158,1
Meme_piece,22,-57.977960359474615,168,1
Meme_piece,23,-58.16358586043347,167,1
Meme_piece,24,-56.55497185675979,173,1
Meme_piece,25,-56.64998438043398,173,1
Meme_piece,26,-56.504276609920154,173,1
Meme_piece,27,-57.70893847195111,169,1
Meme_piece,28,-59.044089616205,163,1
Meme_piece,29,-60.828319595853664,156,1
Meme_piece,30,-54.61845017936617,181,1
Piece_adjacente,1,-72.30357116193599,110,1
Piece_adjacente,2,-66.85223503750167,132,1
Piece_adjacente,3,-73.21012867478336,107,1
Piece_adjacente,4,-69.98536110811604,120,1
Piece_adjacente,5,-71.81317414112411,112,1
Piece_adjacente,6,-71.85562732341378,112,1
Piece_adjacente,7,-70.92831232079497,116,1
Piece_adjacente,8,-69.29862903030413,122,1
Piece_adjacente,9,-71.31928815621539,114,1
Piece_adjacente,10,-70.54101305767385,117,1
Piece_adjacente,11,-72.50209831140366,109,1
Piece_adjacente,12,-68.14893963549298,127,1
Piece_adjacente,13,-72.62016495347189,109,1
Piece_adjacente,14,-72.28331452070088,110,1
Piece_adjacente,15,-69.42348567948169,122,1
Piece_adjacente,16,-69.96262025069227,120,1
Piece_adjacente,17,-81.19508011996254,75,1
Piece_adjacente,18,-75.52601214971467,97,1
Piece_adjacente,19,-69.41804202620307,122,1
Piece_adjacente,20,-63.058899836098874,147,1
Piece_adjacente,21,-74.8290531003721,100,1
Piece_adjacente,22,-74.25433654327242,102,1
Piece_adjacente,23,-72.39696181894479,110,1
Piece_adjacente,24,-67.87355970704152,128,1
Piece_adjacente,25,-69.55405021953581,121,1
Piece_adjacente,26,-73.42887617251661,106,1
Piece_adjacente,27,-71.37150358662831,114,1
Piece_adjacente,28,-69.03089560672142,123,1
Piece_adjacente,29,-73.11388925152775,107,1
Piece_adjacente,30,-69.50050329013645,121,1
2_pieces,1,-72.65910378513556,109,1
2_pieces,2,-81.39395963569724,74,1
2_pieces,3,-77.58676388977617,89,1
2_pieces,4,-80.1683961389489,79,1
2_pieces,5,-83.7589392105173,64,1
2_pieces,6,-86.09081887109281,55,1
2_pieces,7,-84.47183402528248,62,1
2_pieces,8,-82.6778598914068,69,1
2_pieces,9,-84.03506663730384,63,1
2_pieces,10,-84.2430363278011,63,1
2_pieces,11,-81.57117541530884,73,1
2_pieces,12,-79.69742865901256,81,1
2_pieces,13,-85.84981791676661,56,1
2_pieces,14,-83.37327529069279,66,1
2_pieces,15,-82.14704769526206,71,1
2_pieces,16,-80.9162264063871,76,1
2_pieces,17,-81.19844472754987,75,1
2_pieces,18,-82.1382432867052,71,1
2_pieces,19,-82.04867243440764,71,1
2_pieces,20,-83.81353354943823,64,1
2_pieces,21,-85.21246659006175,59,1
2_pieces,22,-82.04579947214671,71,1
2_pieces,23,-84.42298665691385,62,1
2_pieces,24,-84.910721163238,60,1
2_pieces,25,-82.65043203653428,69,1
2_pieces,26,-74.39393506081848,102,1
2_pieces,27,-87.13770583875576,51,1
2_pieces,28,-78.07058113361178,87,1
2_pieces,29,-83.10562246128549,67,1
2_pieces,30,-81.38978284937869,74,1
Etage_different,1,-95.23731817344684,19,1
Etage_different,2,-90.55440256342939,37,1
Etage_different,3,-90.75701123674091,36,1
Etage_different,4,-93.54249391475915,25,1
Etage_different,5,-91.32745683165581,34,1
Etage_different,6,-87.7026004440088,49,1
Etage_different,7,-87.07958345954003,51,1
Etage_different,8,-91.09308231032449,35,1
Etage_different,9,-96.61634003138776,13,1
Etage_different,10,-92.2480602922372,31,1
Etage_different,11,-97.54074748382648,9,1
Etage_different,12,-92.29777202474307,30,1
Etage_different,13,-88.4181177910953,46,1
Etage_different,14,-91.13561504797426,35,1
Etage_different,15,-85.80585120746446,56,1
Etage_different,16,-93.14010144739528,27,1
Etage_different,17,-94.07967681621881,23,1
Etage_different,18,-93.19726265696818,27,1
Etage_different,19,-97.32663875145484,10,1
Etage_different,20,-87.09798344663392,51,1
Etage_different,21,-89.07408825041936,43,1
Etage_different,22,-91.51015414656827,33,1
Etage_different,23,-92.73005087065096,29,1
Etage_different,24,-93.07430485699993,27,1
Etage_different,25,-89.63122523567142,41,1
Etage_different,26,-93.65142036620037,25,1
Etage_different,27,-93.58427203652174,25,1
Etage_different,28,-90.05505200068106,39,1
Etage_different,29,-89.28181248710145,42,1
Etage_different,30,-90.74182312353241,37,1
